T,Date.Sampled,Plate,Column,Sample,Rep,BGT1,BGT2,NAGT1,NAGT2,PT1,PT2
0,8/15/2017,,,H,A,0,0,0,0,0,0
0,8/15/2017,,,H,B,0,0,0,0,0,0
0,8/15/2017,,,H,C,0,0,0,0,0,0
0,8/15/2017,,,So,A,0,0,0,0,0,0
0,8/15/2017,,,So,B,0,0,0,0,0,0
0,8/15/2017,,,So,C,0,0,0,0,0,0
0,8/15/2017,,,Sh,A,0,0,0,0,0,0
0,8/15/2017,,,Sh,B,0,0,0,0,0,0
0,8/15/2017,,,Sh,C,0,0,0,0,0,0
0,8/15/2017,,,F,A,0,0,0,0,0,0
0,8/15/2017,,,F,B,0,0,0,0,0,0
0,8/15/2017,,,F,C,0,0,0,0,0,0
0,8/15/2017,,,T,A,0,0,0,0,0,0
0,8/15/2017,,,T,B,0,0,0,0,0,0
0,8/15/2017,,,T,C,0,0,0,0,0,0
1,8/18/2017,1,1,H,A,11.94011378,36.39830911,7.608347255,13.64525556,22.09861082,31.99119833
1,8/18/2017,1,2,H,B,12.71588985,16.8275775,7.950308279,13.91619436,20.40410612,30.72611567
1,8/18/2017,1,3,H,C,10.7900259,12.54849859,8.322517199,10.57365095,19.23974501,26.97575931
1,8/18/2017,1,4,So,A,12.94503286,61.27382894,7.075537513,41.56572961,30.96656755,59.63581348
1,8/18/2017,1,5,So,B,12.15611689,28.10475101,7.654719424,19.1403279,23.54547828,51.51690583
1,8/18/2017,1,6,So,C,12.35803828,45.41044362,7.92341076,26.29833315,22.39327777,45.0751659
1,8/18/2017,1,7,Sh,A,12.32435789,15.90018569,7.195466303,10.91149766,21.82880589,35.69131617
1,8/18/2017,1,8,Sh,B,12.76798563,16.90018569,6.411008264,29.57189024,25.67228942,49.26412607
1,8/18/2017,2,1,Sh,C,9.399736586,11.99795657,8.179818955,8.717227516,18.73648433,22.71429313
1,8/18/2017,2,2,F,A,9.711411127,14.2152042,8.029298676,20.75943804,19.85616325,27.50696052
1,8/18/2017,2,3,F,B,9.55173066,15.9301375,8.002122054,9.644624471,19.46327929,26.85141254
1,8/18/2017,2,4,F,C,9.651171276,15.50226093,8.537034155,11.74992184,18.77567636,24.99946814
1,8/18/2017,2,5,T,A,10.24157336,9.728722685,8.316495637,8.341847692,18.61420817,24.32237773
1,8/18/2017,2,6,T,B,9.67106527,19.62378273,8.19999403,13.79544816,19.28167326,30.0405418
1,8/18/2017,2,7,T,C,9.768904519,9.96167568,8.140026896,8.267464647,19.31814583,30.81409578
2,8/22/2017,1,1,H,A,11.94011378,33.5198155,7.668643892,32.22638669,32.08233954,53.62750968
2,8/22/2017,1,2,H,B,12.71588985,15.28046272,7.689113647,9.620071317,23.09803298,29.52082797
2,8/22/2017,1,3,H,C,10.7900259,28.90150412,6.867916794,23.35672664,32.44205579,49.91337854
2,8/22/2017,1,4,So,A,12.94503286,14.05786945,8.746793537,10.5268272,22.60733252,28.09736791
2,8/22/2017,1,5,So,B,12.15611689,20.53476906,5.99230537,14.00939319,25.55127785,50.60144557
2,8/22/2017,1,6,So,C,12.35803828,18.20684328,8.493170436,49.14945679,24.49481871,43.98078532
2,8/22/2017,1,7,Sh,A,12.32435789,15.37242898,8.717698832,10.50873408,22.92258997,27.43407637
2,8/22/2017,1,8,Sh,B,12.76798563,12.32782563,11.29364992,11.12633961,21.5438026,22.86599892
2,8/22/2017,2,1,Sh,C,11.69629435,15.02434749,8.288508822,12.14949941,26.52855728,38.12103483
2,8/22/2017,2,2,F,A,14.16017317,34.71029104,9.334877703,9.957023821,21.63437108,23.1195011
2,8/22/2017,2,3,F,B,12.76327142,14.13092649,9.445446142,10.40519049,22.47329134,27.09992099
2,8/22/2017,2,4,F,C,13.00996438,14.19078084,9.350740221,10.62625164,21.83382506,25.60368539
2,8/22/2017,2,5,T,A,11.38957644,19.02732752,8.186991565,13.59451933,26.57253422,44.02702886
2,8/22/2017,2,6,T,B,13.0881446,13.4141262,9.758461212,9.571682928,21.27555099,23.05649708
2,8/22/2017,2,7,T,C,12.40583861,18.08205289,9.002655056,11.28173339,22.32754535,27.10704115
3,8/25/2017,1,1,H,A,5.801976007,68.76897333,6.151556519,57.34956036,40.18285504,77.50840832
3,8/25/2017,1,2,H,B,6.641371738,42.69098641,6.854345691,38.17919939,30.86701809,61.75839984
3,8/25/2017,1,3,H,C,6.409876702,60.97648871,6.554836585,55.91874665,35.30590593,69.17289051
3,8/25/2017,1,4,So,A,3.999419628,53.51040117,6.877226904,52.83396575,37.73057946,74.61879894
3,8/25/2017,1,5,So,B,7.22520948,29.75396593,7.267666246,33.05912248,28.30232622,51.88462891
3,8/25/2017,1,6,So,C,7.016178564,21.70098174,7.173557483,23.42667354,28.05681049,58.536528
3,8/25/2017,1,7,Sh,A,6.271279222,37.2506301,6.484849738,33.68263691,36.56280404,60.24106108
3,8/25/2017,1,8,Sh,B,7.962087673,15.52025675,7.545070836,16.15455186,22.39255878,31.95995655
3,8/25/2017,2,1,Sh,C,7.547442826,11.3713094,5.844460602,10.77472615,21.07497929,27.16163351
3,8/25/2017,2,2,F,A,6.778985833,26.27625309,4.405505812,15.98251845,25.59571012,54.56172481
3,8/25/2017,2,3,F,B,7.377156932,25.76298094,8.734013818,37.17851995,25.54660538,45.64040598
3,8/25/2017,2,4,F,C,7.911298168,13.4101247,7.210932014,11.1786317,19.36373972,25.74880874
3,8/25/2017,2,5,T,A,8.043200445,11.12219382,7.126552029,8.350071354,18.96611855,34.57054804
3,8/25/2017,2,6,T,B,8.155070859,9.23432996,7.68345138,8.22852298,18.9228716,24.66060455
3,8/25/2017,2,7,T,C,7.538473308,9.732956771,6.587722614,8.508934426,21.9340707,43.48788648
4,8/29/2017,1,1,H,A,8.763066297,61.97784691,7.826680261,84.4811463,25.16099203,106.7430241
4,8/29/2017,1,2,H,B,7.755457499,121.8620852,7.548928762,119.1484729,31.22410936,143.9858597
4,8/29/2017,1,3,H,C,8.814117229,30.16996606,8.279943062,28.76216063,24.30720729,74.47181373
4,8/29/2017,1,4,So,A,8.718457314,66.69523002,8.227692525,90.3681184,24.91148805,120.4793552
4,8/29/2017,1,5,So,B,8.487120197,50.81561086,8.981287099,65.77281297,22.71989685,103.6049208
4,8/29/2017,1,6,So,C,8.53751496,73.12631976,8.126051968,70.5918175,25.73106186,122.6000189
4,8/29/2017,1,7,Sh,A,7.819780612,100.1415913,7.715685342,77.23991327,32.16387277,143.9703054
4,8/29/2017,1,8,Sh,B,8.216475871,66.99321267,8.19288187,56.25989819,25.39008282,108.3881033
4,8/29/2017,2,1,Sh,C,8.644144655,68.25725867,7.922753322,47.0574095,28.00945168,123.9735106
4,8/29/2017,2,2,F,A,8.183292002,139.2108786,7.244553103,144.0582579,32.94392428,144.1323529
4,8/29/2017,2,3,F,B,9.528915821,45.61661011,8.446845161,45.65780543,21.8063803,76.49161011
4,8/29/2017,2,4,F,C,9.718921654,46.68815988,8.433972618,37.79487179,21.67564801,79.35388386
4,8/29/2017,2,5,T,A,10.10883888,25.20220588,8.634693736,20.70437406,21.02145144,54.56504525
4,8/29/2017,2,6,T,B,9.1511241,43.62547134,8.064822314,38.11519608,22.70863003,109.5962481
4,8/29/2017,2,7,T,C,8.363548623,50.02828054,7.475037279,40.49990573,29.612622,144.3300339
5,9/1/2017,1,1,H,A,8.028700985,161.4416545,6.347423363,87.08455726,49.68904968,125.6687695
5,9/1/2017,1,2,H,B,6.707785654,68.62195295,6.473966943,45.01296433,54.99320332,100.5623734
5,9/1/2017,1,3,H,C,6.262286961,148.5490549,7.001099208,109.5089774,49.8584832,116.3119215
5,9/1/2017,1,4,So,A,7.312772427,104.7434322,7.236298864,65.68624175,47.90297129,106.4329148
5,9/1/2017,1,5,So,B,7.22014197,194.3314781,7.783901557,276.6350839,49.34922769,119.948799
5,9/1/2017,1,6,So,C,7.317637221,217.13487,7.747402192,229.0412358,49.12802919,123.2695187
5,9/1/2017,1,7,Sh,A,7.208389717,163.6447666,7.15264652,111.1940947,51.99344829,118.438005
5,9/1/2017,1,8,Sh,B,7.761315147,152.6122099,6.802350892,66.26189206,48.11034972,102.7056212
5,9/1/2017,2,1,Sh,C,6.521253539,274.3674253,6.568852885,220.7830717,51.61380738,153.5545199
5,9/1/2017,2,2,F,A,7.644470822,302.5323474,8.499494625,182.8982027,49.59201772,130.6232827
5,9/1/2017,2,3,F,B,6.554032635,190.3104205,6.945913066,145.0393358,48.74552155,115.3764359
5,9/1/2017,2,4,F,C,7.30734024,439.5787758,6.128712863,296.4083955,51.50278751,194.2177481
5,9/1/2017,2,5,T,A,2.323505034,75.68891705,2.480202284,27.42668224,20.74254583,127.7461545
5,9/1/2017,2,6,T,B,7.247994278,247.7693902,9.627224571,548.364771,57.06150941,148.0042561
5,9/1/2017,2,7,T,C,3.588307337,225.2478359,3.879969598,222.9219063,25.0704825,606.5213972
6,9/5/2017,1,1,H,A,3.61558914,39.25744336,3.822237961,20.73177474,46.22738882,134.3939232
6,9/5/2017,1,2,H,B,3.351350419,11.60985101,3.870390886,7.018980085,47.22884784,64.05565603
6,9/5/2017,1,3,H,C,3.660525579,24.9076552,4.035423317,13.85645855,53.20959223,97.9851924
6,9/5/2017,1,4,So,A,4.081948335,80.64365481,3.982210804,37.65726951,54.93651355,193.720147
6,9/5/2017,1,5,So,B,3.787029678,34.92701018,3.904957233,10.31822593,56.95648442,104.5868435
6,9/5/2017,1,6,So,C,3.964577662,50.8679806,4.121204501,20.30997478,54.75839017,116.3886562
6,9/5/2017,1,7,Sh,A,4.078315472,61.87674928,3.988547139,24.721675,52.14849631,155.3612014
6,9/5/2017,1,8,Sh,B,3.615561188,28.57871581,4.274101321,13.50991962,50.81606372,96.08222559
6,9/5/2017,2,1,Sh,C,,,4.125611497,13.03329959,29.8715869,78.27216202
6,9/5/2017,2,2,F,A,,,3.862037398,23.33168507,29.24493734,64.99218005
6,9/5/2017,2,3,F,B,,,3.939444066,8.315815666,38.37285865,50.27646546
6,9/5/2017,2,4,F,C,,,3.971059251,54.43567076,37.78142021,150.946943
6,9/5/2017,2,5,T,A,,,4.43676161,62.23337226,43.99388957,184.2752528
6,9/5/2017,2,6,T,B,,,3.882739754,16.59247408,26.29527386,28.66878509
6,9/5/2017,2,7,T,C,,,3.708204401,27.840566,34.71231998,93.46826464
7,9/8/2017,1,1,H,A,5.91278103,104.371854,5.741892315,86.52124843,55.08726166,104.3906915
7,9/8/2017,1,2,H,B,6.704638567,97.96176518,7.146264537,69.38505198,52.41570312,105.4317145
7,9/8/2017,1,3,H,C,6.058488422,144.221824,6.458664547,118.9389475,52.5109838,120.4025104
7,9/8/2017,1,4,So,A,5.914705624,141.3851202,6.572302398,95.66140284,52.33114707,116.8728851
7,9/8/2017,1,5,So,B,6.158188466,108.7387897,6.6454336,71.65477752,52.4266255,107.3207204
7,9/8/2017,1,6,So,C,6.705085593,93.34897568,6.384179113,57.31493057,52.97956998,99.63938913
7,9/8/2017,1,7,Sh,A,6.42700131,149.7724829,6.20139297,64.68772628,47.59625663,104.012767
7,9/8/2017,1,8,Sh,B,6.780075587,134.8674185,6.60118525,55.36922307,52.33885121,103.7643923
7,9/8/2017,2,1,Sh,C,6.085328423,168.5233212,6.646320712,66.9058433,50.62761342,107.9268724
7,9/8/2017,2,2,F,A,6.612554632,227.2942036,6.617156591,91.01645527,47.09802353,107.6360768
7,9/8/2017,2,3,F,B,7.293625869,175.9420292,7.196179616,79.91154783,52.17071732,111.8242624
7,9/8/2017,2,4,F,C,7.230079238,147.6337989,7.687517538,96.74613461,55.93385412,124.4207462
7,9/8/2017,2,5,T,A,5.860624469,98.53273889,6.017481283,71.91703667,48.61980253,100.9740381
7,9/8/2017,2,6,T,B,5.563541745,94.28945644,5.882802546,59.29842537,45.58474401,95.92580741
7,9/8/2017,2,7,T,C,6.570019667,224.8079407,8.414084021,307.2285182,47.6314371,142.2053489
8,9/12/2017,1,1,H,A,6.485069773,80.15781965,6.11674161,53.42868654,44.75603671,88.94828009
8,9/12/2017,1,2,H,B,5.673475228,118.6495621,5.849316184,47.680483,48.8530488,95.12286951
8,9/12/2017,1,3,H,C,5.67053545,96.09669251,5.702430287,67.91622857,45.48783876,90.94456234
8,9/12/2017,1,4,So,A,6.365273131,84.91149721,6.031108619,69.26471575,41.8402418,79.50313806
8,9/12/2017,1,5,So,B,6.766947494,74.46692554,5.721837914,33.24065945,39.87985626,72.09264512
8,9/12/2017,1,6,So,C,6.235152897,98.84220459,5.162196515,44.04781707,43.02091764,83.09182619
8,9/12/2017,1,7,Sh,A,5.873832334,153.1185182,5.009661082,51.09185425,49.84896814,108.8690333
8,9/12/2017,1,8,Sh,B,6.210074125,119.2521759,5.6956551,70.9640227,47.71783679,92.80475495
8,9/12/2017,2,1,Sh,C,5.848695216,115.6578435,5.742100407,55.62110231,46.22486891,99.3545409
8,9/12/2017,2,2,F,A,6.012011289,114.2152699,5.779521941,47.60751425,46.93291786,85.82193208
8,9/12/2017,2,3,F,B,6.52782064,181.4843847,5.863944609,77.89813835,44.89898475,101.0718627
8,9/12/2017,2,4,F,C,6.341363484,124.0671018,5.808730803,42.69713505,43.84043187,80.32370123
8,9/12/2017,2,5,T,A,6.604192173,91.68329411,5.660543496,44.63691357,43.60278028,85.52305915
8,9/12/2017,2,6,T,B,6.738583228,68.61564614,5.63591252,25.4219622,46.41873239,80.20063489
8,9/12/2017,2,7,T,C,6.175207478,136.628282,5.317813906,74.35230308,44.09399678,105.379238
9,9/15/2017,1,1,H,A,6.350939571,48.94198284,6.63726925,31.74184949,38.08744802,73.81793414
9,9/15/2017,1,2,H,B,4.950347271,167.9473511,5.110633175,123.9051626,43.43155004,112.8091738
9,9/15/2017,1,3,H,C,5.884598672,109.6981776,5.850787801,55.70217034,41.76607899,102.6016961
9,9/15/2017,1,4,So,A,6.114468099,101.3633329,6.025776379,74.87028168,39.33723625,74.84168688
9,9/15/2017,1,5,So,B,6.344107186,87.3902841,7.099507486,87.98384435,39.45217492,85.52749147
9,9/15/2017,1,6,So,C,6.526617914,111.9091021,6.353736281,42.82161009,38.80590475,86.22296324
9,9/15/2017,1,7,Sh,A,7.03835807,105.957017,4.54037291,50.23597295,42.9425932,93.06162512
9,9/15/2017,1,8,Sh,B,6.5335806,108.6324285,6.018952301,44.21755274,43.48556207,86.72655894
9,9/15/2017,2,1,Sh,C,7.03393759,128.3402958,6.283709759,75.53872511,41.86265447,90.16676854
9,9/15/2017,2,2,F,A,6.414843986,99.26246774,5.436420741,49.66565285,41.30383512,85.73487744
9,9/15/2017,2,3,F,B,7.059182319,175.1967345,6.057005787,73.54543194,45.57920056,98.10600348
9,9/15/2017,2,4,F,C,7.7844741,150.654607,6.694304157,60.53647677,43.90400385,106.4022731
9,9/15/2017,2,5,T,A,4.177555719,118.7901301,3.797276516,76.85520264,33.28871395,84.45804105
9,9/15/2017,2,6,T,B,5.684375031,93.49286666,5.087553655,71.66015513,40.44174812,68.91499166
9,9/15/2017,2,7,T,C,4.593008817,125.9877465,3.145781047,61.65097684,36.27526588,103.7995476
