Group	Date	Substrate	Rep
170812HA	170818	H	A
170818FA	170818	F	A
170818FB	170818	F	B
170818FC	170818	F	C
170818HB	170818	H	B
170818HC	170818	H	C
170818SHA	170818	SH	A
170818SHB	170818	SH	B
170818SHC	170818	SH	C
170818SOA	170818	SO	A
170818SOB	170818	SO	B
170818SOC	170818	SO	C
170818TA	170818	T	A
170818TB	170818	T	B
170818TC	170818	T	C
170828CRB	170828	CR	B
170828FA	170828	F	A
170828FB	170828	F	B
170828FC	170828	F	C
170828HA	170828	H	A
170828HC	170828	H	C
170828SHA	170828	SH	A
170828SHB	170828	SH	B
170828SHC	170828	SH	C
170828SOA	170828	SO	A
170828SOB	170828	SO	B
170828SOC	170828	SO	C
170828TA	170828	T	A
170828TB	170828	T	B
170828TC	170828	T	C
170905FA	170905	F	A
170905FB	170905	F	B
170905FC	170905	F	C
170905HA	170905	H	A
170905HB	170905	H	B
170905HC	170905	H	C
170905SHA	170905	SH	A
170905SHB	170905	SH	B
170905SHC	170905	SH	C
170905SOA	170905	SO	A
170905SOB	170905	SO	B
170905SOC	170905	SO	C
170905TA	170905	T	A
170905TB	170905	T	B
170905TC	170905	T	C
170915FA	170915	F	A
170915FB	170915	F	B
170915FC	170915	F	C
170915HA	170915	H	A
170915HB	170915	H	B
170915SHA	170915	SH	A
170915SHB	170915	SH	B
170915SHC	170915	SH	C
170915SOA	170915	SO	A
170915SOB	170915	SO	B
170915SOC	170915	SO	C
170915TA	170915	T	A
170915TB	170915	T	B
170915TC	170915	T	C
180828HB	170828	H	B
