"","Date.Sampled","doy","Sample","Rep","NEP","GPP","Resp","time","id","BGT1","BGT2","NAGT1","NAGT2","PT1","PT2"
"1","08/15/17",227,"H","A",0.159223002,0.203386372,-0.04416337,0,1,0,0,0,0,0,0
"2","08/15/17",227,"H","B",0.068667446,0.159225869,-0.090558422,0,2,0,0,0,0,0,0
"3","08/15/17",227,"H","C",0.181861891,0.327559848,-0.145697958,0,3,0,0,0,0,0,0
"4","08/15/17",227,"So","A",0.077723002,0.213948711,-0.136225709,0,4,0,0,0,0,0,0
"5","08/15/17",227,"So","B",-0.03534907,0.07690605,-0.112255121,0,5,0,0,0,0,0,0
"6","08/15/17",227,"So","C",0.010754009,0.150974817,-0.140220807,0,6,0,0,0,0,0,0
"7","08/15/17",227,"Sh","A",0.080582651,0.231172415,-0.150589764,0,7,0,0,0,0,0,0
"8","08/15/17",227,"Sh","B",0.159824034,0.24042334,-0.080599306,0,8,0,0,0,0,0,0
"9","08/15/17",227,"Sh","C",0,0.083842107,-0.083842107,0,9,0,0,0,0,0,0
"10","08/15/17",227,"F","A",0.086081976,0.086081976,0,0,10,0,0,0,0,0,0
"11","08/15/17",227,"F","B",0.05793349,0.05793349,0,0,11,0,0,0,0,0,0
"12","08/15/17",227,"F","C",0.107391861,0.16175575,-0.054363889,0,12,0,0,0,0,0,0
"13","08/15/17",227,"T","A",-0.032907989,0.0195549,-0.052462889,0,13,0,0,0,0,0,0
"14","08/15/17",227,"T","B",-0.015605359,0.074546947,-0.090152306,0,14,0,0,0,0,0,0
"15","08/15/17",227,"T","C",0,0.038515619,-0.038515619,0,15,0,0,0,0,0,0
"16","08/18/17",230,"H","A",0.327611321,0.239932018,0.087679303,3,1,11.94011378,36.39830911,7.608347255,13.64525556,22.09861082,31.99119833
"17","08/18/17",230,"H","B",0.219425481,0.155161408,0.064264072,3,2,12.71588985,16.8275775,7.950308279,13.91619436,20.40410612,30.72611567
"18","08/18/17",230,"H","C",0.052273484,0.011234274,0.041039209,3,3,10.7900259,12.54849859,8.322517199,10.57365095,19.23974501,26.97575931
"19","08/18/17",230,"So","A",-0.083313048,0.101912675,-0.185225723,3,4,12.94503286,61.27382894,7.075537513,41.56572961,30.96656755,59.63581348
"20","08/18/17",230,"So","B",0.086328427,0.169527022,-0.083198596,3,5,12.15611689,28.10475101,7.654719424,19.1403279,23.54547828,51.51690583
"21","08/18/17",230,"So","C",-0.06493455,0.038502785,-0.103437335,3,6,12.35803828,45.41044362,7.92341076,26.29833315,22.39327777,45.0751659
"22","08/18/17",230,"Sh","A",0.123861321,0.00134983,0.122511491,3,7,12.32435789,15.90018569,7.195466303,10.91149766,21.82880589,35.69131617
"23","08/18/17",230,"Sh","B",-0.062548253,-0.063296796,0.000748543,3,8,12.76798563,16.90018569,6.411008264,29.57189024,25.67228942,49.26412607
"24","08/18/17",230,"Sh","C",-0.072770775,0.023891041,-0.096661816,3,9,9.399736586,11.99795657,8.179818955,8.717227516,18.73648433,22.71429313
"25","08/18/17",230,"F","A",-0.682719257,-0.280023278,-0.402695979,3,10,9.711411127,14.2152042,8.029298676,20.75943804,19.85616325,27.50696052
"26","08/18/17",230,"F","B",-0.720976545,-0.169798785,-0.55117776,3,11,9.55173066,15.9301375,8.002122054,9.644624471,19.46327929,26.85141254
"27","08/18/17",230,"F","C",-0.496247374,-0.136378794,-0.359868581,3,12,9.651171276,15.50226093,8.537034155,11.74992184,18.77567636,24.99946814
"28","08/18/17",230,"T","A",-0.235985712,-0.043366524,-0.192619187,3,13,10.24157336,9.728722685,8.316495637,8.341847692,18.61420817,24.32237773
"29","08/18/17",230,"T","B",-0.337397182,-0.27166002,-0.065737162,3,14,9.67106527,19.62378273,8.19999403,13.79544816,19.28167326,30.0405418
"30","08/18/17",230,"T","C",-0.380969339,0.001935138,-0.382904477,3,15,9.768904519,9.96167568,8.140026896,8.267464647,19.31814583,30.81409578
"31","08/22/17",234,"H","A",0.220942121,0.473683382,-0.252741261,7,1,11.94011378,33.5198155,7.668643892,32.22638669,32.08233954,53.62750968
"32","08/22/17",234,"H","B",0.280286781,0.376980813,-0.096694032,7,2,12.71588985,15.28046272,7.689113647,9.620071317,23.09803298,29.52082797
"33","08/22/17",234,"H","C",-0.098106076,0.172293019,-0.270399095,7,3,10.7900259,28.90150412,6.867916794,23.35672664,32.44205579,49.91337854
"34","08/22/17",234,"So","A",-0.094536332,0.072838389,-0.167374721,7,4,12.94503286,14.05786945,8.746793537,10.5268272,22.60733252,28.09736791
"35","08/22/17",234,"So","B",-0.064079416,0.050087322,-0.114166738,7,5,12.15611689,20.53476906,5.99230537,14.00939319,25.55127785,50.60144557
"36","08/22/17",234,"So","C",-0.146166707,0.118307408,-0.264474115,7,6,12.35803828,18.20684328,8.493170436,49.14945679,24.49481871,43.98078532
"37","08/22/17",234,"Sh","A",-0.085899855,0,-0.03799055,7,7,12.32435789,15.37242898,8.717698832,10.50873408,22.92258997,27.43407637
"38","08/22/17",234,"Sh","B",0.05699911,0.068222536,-0.011223427,7,8,12.76798563,12.32782563,11.29364992,11.12633961,21.5438026,22.86599892
"39","08/22/17",234,"Sh","C",-0.051613672,0,-0.034972529,7,9,11.69629435,15.02434749,8.288508822,12.14949941,26.52855728,38.12103483
"40","08/22/17",234,"F","A",-0.577122721,0.458328033,-1.035450754,7,10,14.16017317,34.71029104,9.334877703,9.957023821,21.63437108,23.1195011
"41","08/22/17",234,"F","B",-0.811231076,0,-0.66171504,7,11,12.76327142,14.13092649,9.445446142,10.40519049,22.47329134,27.09992099
"42","08/22/17",234,"F","C",-0.870946403,0.125558304,-0.996504707,7,12,13.00996438,14.19078084,9.350740221,10.62625164,21.83382506,25.60368539
"43","08/22/17",234,"T","A",-1.023510033,0,-0.438960654,7,13,11.38957644,19.02732752,8.186991565,13.59451933,26.57253422,44.02702886
"44","08/22/17",234,"T","B",-0.456381595,0,-0.398861707,7,14,13.0881446,13.4141262,9.758461212,9.571682928,21.27555099,23.05649708
"45","08/22/17",234,"T","C",-0.996445442,0.328221535,-1.324666977,7,15,12.40583861,18.08205289,9.002655056,11.28173339,22.32754535,27.10704115
"46","08/25/17",237,"H","A",0.745717345,1.092043147,-0.346325802,10,1,5.801976007,68.76897333,6.151556519,57.34956036,40.18285504,77.50840832
"47","08/25/17",237,"H","B",0.642986253,0.740589766,-0.097603513,10,2,6.641371738,42.69098641,6.854345691,38.17919939,30.86701809,61.75839984
"48","08/25/17",237,"H","C",0.796867973,1.114521486,-0.317653513,10,3,6.409876702,60.97648871,6.554836585,55.91874665,35.30590593,69.17289051
"49","08/25/17",237,"So","A",0.441360499,0.730570187,-0.289209688,10,4,3.999419628,53.51040117,6.877226904,52.83396575,37.73057946,74.61879894
"50","08/25/17",237,"So","B",0.593538922,0.757506721,-0.163967799,10,5,7.22520948,29.75396593,7.267666246,33.05912248,28.30232622,51.88462891
"51","08/25/17",237,"So","C",0.393556851,0.393556851,0,10,6,7.016178564,21.70098174,7.173557483,23.42667354,28.05681049,58.536528
"52","08/25/17",237,"Sh","A",0.645512427,0.645512427,0,10,7,6.271279222,37.2506301,6.484849738,33.68263691,36.56280404,60.24106108
"53","08/25/17",237,"Sh","B",0.219641526,0.256408818,-0.036767293,10,8,7.962087673,15.52025675,7.545070836,16.15455186,22.39255878,31.95995655
"54","08/25/17",237,"Sh","C",-0.077598981,0.055428154,-0.133027135,10,9,7.547442826,11.3713094,5.844460602,10.77472615,21.07497929,27.16163351
"55","08/25/17",237,"F","A",-0.1773949,0.551593907,-0.728988807,10,10,6.778985833,26.27625309,4.405505812,15.98251845,25.59571012,54.56172481
"56","08/25/17",237,"F","B",-0.826068369,0,-0.489282925,10,11,7.377156932,25.76298094,8.734013818,37.17851995,25.54660538,45.64040598
"57","08/25/17",237,"F","C",-1.00786872,0,-0.651739841,10,12,7.911298168,13.4101247,7.210932014,11.1786317,19.36373972,25.74880874
"58","08/25/17",237,"T","A",-0.479643692,0.323624152,-0.803267845,10,13,8.043200445,11.12219382,7.126552029,8.350071354,18.96611855,34.57054804
"59","08/25/17",237,"T","B",-0.877277963,0.599829751,-1.477107714,10,14,8.155070859,9.23432996,7.68345138,8.22852298,18.9228716,24.66060455
"60","08/25/17",237,"T","C",-0.812941771,0.449522262,-1.262464033,10,15,7.538473308,9.732956771,6.587722614,8.508934426,21.9340707,43.48788648
"61","08/29/17",241,"H","A",0.572283986,0.651647178,-0.079363191,14,1,8.763066297,61.97784691,7.826680261,84.4811463,25.16099203,106.7430241
"62","08/29/17",241,"H","B",0.049324095,0.049324095,0,14,2,7.755457499,121.8620852,7.548928762,119.1484729,31.22410936,143.9858597
"63","08/29/17",241,"H","C",0.685958333,0.686004456,-4.61223e-05,14,3,8.814117229,30.16996606,8.279943062,28.76216063,24.30720729,74.47181373
"64","08/29/17",241,"So","A",0.069703947,0.018435684,0.051268263,14,4,8.718457314,66.69523002,8.227692525,90.3681184,24.91148805,120.4793552
"65","08/29/17",241,"So","B",0.232666485,0.541210828,-0.308544343,14,5,8.487120197,50.81561086,8.981287099,65.77281297,22.71989685,103.6049208
"66","08/29/17",241,"So","C",0.001756466,0.001756466,NA,14,6,8.53751496,73.12631976,8.126051968,70.5918175,25.73106186,122.6000189
"67","08/29/17",241,"Sh","A",0.083511266,0.083511266,0,14,7,7.819780612,100.1415913,7.715685342,77.23991327,32.16387277,143.9703054
"68","08/29/17",241,"Sh","B",0.138445513,0.295207712,-0.156762199,14,8,8.216475871,66.99321267,8.19288187,56.25989819,25.39008282,108.3881033
"69","08/29/17",241,"Sh","C",0.088869681,0.069754657,0.019115024,14,9,8.644144655,68.25725867,7.922753322,47.0574095,28.00945168,123.9735106
"70","08/29/17",241,"F","A",-0.426493644,0.141748228,-0.568241872,14,10,8.183292002,139.2108786,7.244553103,144.0582579,32.94392428,144.1323529
"71","08/29/17",241,"F","B",-0.633697034,0.117720143,-0.751417177,14,11,9.528915821,45.61661011,8.446845161,45.65780543,21.8063803,76.49161011
"72","08/29/17",241,"F","C",-0.555995763,0.295002066,-0.850997829,14,12,9.718921654,46.68815988,8.433972618,37.79487179,21.67564801,79.35388386
"73","08/29/17",241,"T","A",-0.231292389,0.206158883,-0.437451273,14,13,10.10883888,25.20220588,8.634693736,20.70437406,21.02145144,54.56504525
"74","08/29/17",241,"T","B",-0.744567901,0.135292192,-0.879860094,14,14,9.1511241,43.62547134,8.064822314,38.11519608,22.70863003,109.5962481
"75","08/29/17",241,"T","C",-0.394486277,0.112634572,-0.507120849,14,15,8.363548623,50.02828054,7.475037279,40.49990573,29.612622,144.3300339
