Date.Sampled,Sample,Rep,750A,665A,750B,665B,chla,area,chla_cm
8/15/2017,H,A,0.0078,0.0077,0,0.0004,0.715,16,0.0446875
8/15/2017,H,B,0.0073,0.0067,0,0.0005,1.573,16,0.0983125
8/15/2017,H,C,0.0059,0.005,0,0,1.287,16,0.0804375
8/15/2017,So,A,0.0012,0.0013,0,0,0,16,0
8/15/2017,So,B,0.0009,0.0011,0,0,0,16,0
8/15/2017,So,C,0.0011,0.0011,0,0.0004,0.572,16,0.03575
8/15/2017,Sh,A,0.0017,0.0016,0,0,0.143,16,0.0089375
8/15/2017,Sh,B,0.0012,0.001,0,0,0.286,16,0.017875
8/15/2017,Sh,C,0.0009,0.0009,0,0,0,16,0
8/15/2017,F,A,0.0006,0.0004,0,0,0.286,16,0.017875
8/15/2017,F,B,0.0007,0.0003,0,0,0.572,16,0.03575
8/15/2017,F,C,0.0005,0.0006,0,0,0,16,0
8/15/2017,T,A,0.0016,0.0013,0.0004,0.0009,1.144,20.25,0.056493827
8/15/2017,T,B,0.0038,0.0042,0.0017,0.0024,0.429,20.25,0.021185185
8/15/2017,T,C,0.0043,0.005,0,0,0,20.25,0
8/15/2017,Cr,A,0.0011,0.001,0,0,0.143,1,0.143
8/15/2017,Cr,B,0.0005,0.0004,0,0,0.143,1,0.143
8/15/2017,Cr,C,0.0009,0.0009,0,0,0,1,0
8/18/2017,H,A,0.0046,0.0056,0.0034,0.0046,0.286,16,0.017875
8/18/2017,H,B,0.001,0.0016,0.0021,0.0028,0.143,16,0.0089375
8/18/2017,H,C,0.0009,0.0018,0.0009,0.0021,0.429,16,0.0268125
8/18/2017,So,A,0.001,0.0028,0.0017,0.004,0.715,16,0.0446875
8/18/2017,So,B,0.0012,0.0026,0.0006,0.0021,0.143,16,0.0089375
8/18/2017,So,C,0.0013,0.004,0.0004,0.0039,1.144,16,0.0715
8/18/2017,Sh,A,0.0013,0.0033,0.0011,0.0032,0.143,16,0.0089375
8/18/2017,Sh,B,0.001,0.0017,0.0004,0.0012,0.143,16,0.0089375
8/18/2017,Sh,C,0.0009,0.0012,0.0005,0.0012,0.572,16,0.03575
8/18/2017,F,A,0.0012,0.0026,0.0009,0.0024,0.143,16,0.0089375
8/18/2017,F,B,0.0023,0.0032,0.0021,0.0027,-0.429,16,-0.0268125
8/18/2017,F,C,0.001,0.0031,0.0006,0.0028,0.143,16,0.0089375
8/18/2017,T,A,0.0024,0.0045,0.002,0.0043,0.286,20.25,0.014123457
