Date,doy,width,xdepth,xvelocity,xtemp,xspc,Q
8/15/2017,227,11.1,38.07692308,0.236862745,20.80196078,829.0980392,0.7022
8/18/2017,230,12.4,54.08333333,0.260833333,22.39166667,800.0833333,1.708255
8/22/2017,234,11.2,35,0.205,,,0.9629
8/25/2017,237,10.8,31.81818182,,18.48181818,896.6363636,
8/29/2017,241,10.7,32.5,0.161,20,911,0.538505
9/1/2017,244,11.6,45.54545455,0.250909091,19.45454545,736.1818182,1.2891
9/5/2017,248,11.9,33.6,0.177,18.5,838.4,0.658465
9/8/2017,251,10.8,29.9,0.182,16.9,920.6,0.566845
9/12/2017,255,28.7,32.4,0.167,16.9,906.8,1.26253
9/15/2017,258,10.6,29.8,0.156,20.33333333,878,0.457985
