taxlevel,rankID,taxon,daughterlevels,total,170818HA,170818FA,170818FB,170818FC,170818HB,170818HC,170818SHA,170818SHB,170818SHC,170818SOA,170818SOB,170818SOC,170818TA,170818TB,170818TC,170828CRB,170828FA,170828FB,170828FC,170828HA,170828HC,170828SHA,170828SHB,170828SHC,170828SOA,170828SOB,170828SOC,170828TA,170828TB,170828TC,170905FA,170905FB,170905FC,170905HA,170905HB,170905HC,170905SHA,170905SHB,170905SHC,170905SOA,170905SOB,170905SOC,170905TA,170905TB,170905TC,170915CRB,170915FA,170915FB,170915FC,170915HA,170915HB,170915HC,170915SHA,170915SHB,170915SHC,170915SOA,170915SOB,170915SOC,170915TA,170915TB,170915TC,170828HB
0,0,Root,1,1684292,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166
1,0.1,Bacteria,27,1684292,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166,27166
2,0.1.1,Acidobacteria,20,27064,343,251,300,274,566,244,196,267,347,513,436,240,278,356,365,140,271,298,323,426,372,224,360,244,555,460,313,339,436,470,334,269,409,256,246,343,489,370,470,348,259,520,594,460,669,11,729,400,655,673,740,692,611,558,568,413,743,809,867,824,776,752
3,0.1.1.1,Acidobacteria_unclassified,1,178,1,2,5,1,12,4,1,5,3,3,6,1,1,3,1,0,0,1,1,1,1,2,8,2,2,6,0,1,1,3,2,1,3,0,0,1,2,2,6,1,0,5,9,9,3,0,2,4,1,5,8,2,0,5,1,1,1,5,6,8,0,7
4,0.1.1.1.1,Acidobacteria_unclassified,1,178,1,2,5,1,12,4,1,5,3,3,6,1,1,3,1,0,0,1,1,1,1,2,8,2,2,6,0,1,1,3,2,1,3,0,0,1,2,2,6,1,0,5,9,9,3,0,2,4,1,5,8,2,0,5,1,1,1,5,6,8,0,7
5,0.1.1.1.1.1,Acidobacteria_unclassified,1,178,1,2,5,1,12,4,1,5,3,3,6,1,1,3,1,0,0,1,1,1,1,2,8,2,2,6,0,1,1,3,2,1,3,0,0,1,2,2,6,1,0,5,9,9,3,0,2,4,1,5,8,2,0,5,1,1,1,5,6,8,0,7
6,0.1.1.1.1.1.1,Acidobacteria_unclassified,0,178,1,2,5,1,12,4,1,5,3,3,6,1,1,3,1,0,0,1,1,1,1,2,8,2,2,6,0,1,1,3,2,1,3,0,0,1,2,2,6,1,0,5,9,9,3,0,2,4,1,5,8,2,0,5,1,1,1,5,6,8,0,7
3,0.1.1.2,Acidobacteria_Gp1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0.1.1.2.1,Acidobacteria_Gp1_order_incertae_sedis,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,0.1.1.2.1.1,Acidobacteria_Gp1_family_incertae_sedis,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
