Scans,Date,Time,Integrating Light,microMole/s/m2
1,14/08/2017 , 14:00:00,38504,34601.89
2,14/08/2017 , 16:00:00,34598,31095.08
3,14/08/2017 , 18:00:00,9975,8988.56
4,14/08/2017 , 20:00:00,1793,1642.76
5,14/08/2017 , 22:00:00,3,35.69
6,14/08/2017 , 24:00:00,0,33
7,15/08/2017 , 02:00:00,0,33
8,15/08/2017 , 04:00:00,0,33
9,15/08/2017 , 06:00:00,6,38.39
10,15/08/2017 , 08:00:00,2707,2463.34
11,15/08/2017 , 10:00:00,41001,36843.7
12,15/08/2017 , 12:00:00,27771,24965.8
13,15/08/2017 , 14:00:00,65535,58870.32
14,15/08/2017 , 16:00:00,30813,27696.91
15,15/08/2017 , 18:00:00,10127,9125.02
16,15/08/2017 , 20:00:00,2608,2374.46
17,15/08/2017 , 22:00:00,1,33.9
18,15/08/2017 , 24:00:00,0,33
19,16/08/2017 , 02:00:00,0,33
20,16/08/2017 , 04:00:00,0,33
21,16/08/2017 , 06:00:00,11,42.88
22,16/08/2017 , 08:00:00,2653,2414.86
23,16/08/2017 , 10:00:00,42829,38484.88
24,16/08/2017 , 12:00:00,24804,22302.03
25,16/08/2017 , 14:00:00,65535,58870.32
26,16/08/2017 , 16:00:00,39162,35192.64
27,16/08/2017 , 18:00:00,4350,3938.43
28,16/08/2017 , 20:00:00,1084,1006.22
29,16/08/2017 , 22:00:00,0,33
30,16/08/2017 , 24:00:00,0,33
31,17/08/2017 , 02:00:00,0,33
32,17/08/2017 , 04:00:00,0,33
33,17/08/2017 , 06:00:00,2,34.8
34,17/08/2017 , 08:00:00,516,496.26
35,17/08/2017 , 10:00:00,3683,3339.6
36,17/08/2017 , 12:00:00,8886,8010.85
37,17/08/2017 , 14:00:00,65535,58870.32
38,17/08/2017 , 16:00:00,29815,26800.91
39,17/08/2017 , 18:00:00,10662,9605.34
40,17/08/2017 , 20:00:00,2127,1942.62
41,17/08/2017 , 22:00:00,2,34.8
42,17/08/2017 , 24:00:00,0,33
43,18/08/2017 , 02:00:00,0,33
44,18/08/2017 , 04:00:00,0,33
45,18/08/2017 , 06:00:00,10,41.98
46,18/08/2017 , 08:00:00,2429,2213.76
47,18/08/2017 , 10:00:00,14287,12859.87
48,18/08/2017 , 12:00:00,23070,20745.25
49,18/08/2017 , 14:00:00,65535,58870.32
50,18/08/2017 , 16:00:00,46271,41575.1
51,18/08/2017 , 18:00:00,10395,9365.63
52,18/08/2017 , 20:00:00,2191,2000.08
53,18/08/2017 , 22:00:00,1,33.9
54,18/08/2017 , 24:00:00,0,33
55,19/08/2017 , 02:00:00,0,33
56,19/08/2017 , 04:00:00,0,33
57,19/08/2017 , 06:00:00,6,38.39
58,19/08/2017 , 08:00:00,2512,2288.27
59,19/08/2017 , 10:00:00,38348,34461.83
60,19/08/2017 , 12:00:00,24047,21622.4
61,19/08/2017 , 14:00:00,65535,58870.32
62,19/08/2017 , 16:00:00,49678,44633.91
63,19/08/2017 , 18:00:00,10894,9813.63
64,19/08/2017 , 20:00:00,2117,1933.64
65,19/08/2017 , 22:00:00,1,33.9
66,19/08/2017 , 24:00:00,0,33
67,20/08/2017 , 02:00:00,0,33
68,20/08/2017 , 04:00:00,0,33
69,20/08/2017 , 06:00:00,7,39.28
70,20/08/2017 , 08:00:00,3669,3327.03
71,20/08/2017 , 10:00:00,22520,20251.46
72,20/08/2017 , 12:00:00,22848,20545.93
73,20/08/2017 , 14:00:00,65535,58870.32
74,20/08/2017 , 16:00:00,28679,25781.01
75,20/08/2017 , 18:00:00,5563,5027.46
76,20/08/2017 , 20:00:00,448,435.21
77,20/08/2017 , 22:00:00,0,33
78,20/08/2017 , 24:00:00,0,33
79,21/08/2017 , 02:00:00,0,33
80,21/08/2017 , 04:00:00,0,33
81,21/08/2017 , 06:00:00,6,38.39
82,21/08/2017 , 08:00:00,3068,2787.45
83,21/08/2017 , 10:00:00,22168,19935.43
84,21/08/2017 , 12:00:00,23321,20970.59
85,21/08/2017 , 14:00:00,20918,18813.18
86,21/08/2017 , 16:00:00,16672,15001.12
87,21/08/2017 , 18:00:00,7489,6756.62
88,21/08/2017 , 20:00:00,1444,1329.42
89,21/08/2017 , 22:00:00,0,33
90,21/08/2017 , 24:00:00,0,33
91,22/08/2017 , 02:00:00,0,33
92,22/08/2017 , 04:00:00,0,33
93,22/08/2017 , 06:00:00,0,33
94,22/08/2017 , 08:00:00,2397,2185.03
95,22/08/2017 , 10:00:00,14529,13077.14
96,22/08/2017 , 12:00:00,20331,18286.17
97,22/08/2017 , 14:00:00,65535,58870.32
98,22/08/2017 , 16:00:00,37546,33741.8
