Date,srp,nh4,no3
8/25/2017,318.8,117.8,11470.52
8/25/2017,350.2,123.9,11519.975
8/25/2017,398.9,125.2,11389.38
8/15/2017,95.2,145.7,5996.164
8/15/2017,75.5,141.7,6024.306
8/15/2017,71.6,138.7,5846.859
8/22/2017,87.5,182.2,5383.69
8/22/2017,87.1,162.9,5592.983
8/22/2017,102.2,139.7,4781.882
8/18/2017,349.8,138.7,7817.735
8/18/2017,402.8,126.3,7077.73
8/18/2017,391.3,128.2,8093.605
8/29/2017,220.6,132,7793.005
8/29/2017,328,131.2,12155.175
8/29/2017,258,130.1,11169.145
9/1/2017,219.9,91.7,5401.613
9/1/2017,292.9,96.6,5610.609
9/1/2017,274.1,93.5,5471.525
9/12/2017,344.1,116.7,12975.835
9/12/2017,361.3,114,12781.875
9/12/2017,361.1,132.8,12473.55
9/5/2017,202.8,97.6,6453.852
9/5/2017,174,104.3,7932.875
9/5/2017,211.4,107,7944.465
9/15/2017,842.5,99.7,16824.9
9/15/2017,816,94.6,16090.785
9/15/2017,844.6,88.7,15954.01
9/8/2017,545.8,139.2,12549.275
9/8/2017,522.7,149.4,13787.22
9/8/2017,508.4,135.4,12793.465
